Date,Sales_USD,Region,Profit_Margin,Transaction_Volume
2024-02-29,4556,East,0.19160915810331805,118
2024-03-01,4890,East,0.245684126075868,96
2024-03-02,1646,North,0.23452724289587423,143
2024-03-03,3068,East,0.39833723878324623,287
2024-03-04,3888,East,0.1527775758032036,495
2024-03-05,3214,North,0.10542260908465627,253
2024-03-06,2297,West,0.2481681145550304,449
2024-03-07,3435,North,0.15364681276639866,267
2024-03-08,1600,West,0.209940635374858,481
2024-03-09,3363,East,0.3232511569169687,390
2024-03-10,3061,East,0.3162819772756388,88
2024-03-11,1241,East,0.1924182375557168,149
2024-03-12,3041,South,0.2627620691664698,338
2024-03-13,3824,West,0.25264422305162804,303
2024-03-14,4417,South,0.29089978545576867,271
2024-03-15,3612,South,0.17513854558167524,406
2024-03-16,3945,North,0.2769612542681632,72
2024-03-17,2363,South,0.39366785748250277,299
2024-03-18,3139,North,0.24602264588783657,59
2024-03-19,2390,North,0.3718296363155662,295
2024-03-20,4003,South,0.2303183096531286,374
2024-03-21,2478,West,0.20502352230840273,149
2024-03-22,4499,West,0.2935310086091695,339
2024-03-23,3556,West,0.3006772178989299,229
2024-03-24,1775,West,0.3592502695215709,272
2024-03-25,1034,West,0.1690555804724666,443
2024-03-26,3253,South,0.2497580139654257,299
2024-03-27,4152,South,0.27160125976275495,196
2024-03-28,2955,East,0.33056620429189276,491
2024-03-29,2585,West,0.11308113152633013,145
2024-03-30,4943,South,0.3983651532392024,306
2024-03-31,4459,East,0.24098335419728292,374
2024-04-01,4073,West,0.18386810253902758,53
2024-04-02,2021,North,0.3650482066798777,65
2024-04-03,4461,East,0.3243156321692242,329
2024-04-04,3613,South,0.385921554107186,385
2024-04-05,2129,North,0.19922509140115413,296
2024-04-06,4843,North,0.26582949005064704,307
2024-04-07,4893,North,0.2716877407512515,433
2024-04-08,2500,East,0.3940994751148138,209
2024-04-09,1702,South,0.12260387680183847,389
2024-04-10,3449,North,0.19170910578615458,201
2024-04-11,3777,West,0.1572733093451038,445
2024-04-12,2579,North,0.18054245706704708,227
2024-04-13,1161,North,0.24558396228289472,212
2024-04-14,1201,East,0.21180606012821482,429
2024-04-15,2981,East,0.21840744004284168,82
2024-04-16,1995,South,0.3532639422178935,466
2024-04-17,3317,West,0.3790050504432496,494
2024-04-18,4934,East,0.12112483925486318,228
2024-04-19,1815,North,0.16267561528460805,476
2024-04-20,4342,South,0.3013430550472152,150
2024-04-21,1455,North,0.20759403438884919,317
2024-04-22,4533,North,0.17624909472092165,372
2024-04-23,4798,East,0.18858717652568163,114
2024-04-24,2275,South,0.1967652292715802,466
2024-04-25,2016,West,0.35460093847740237,217
2024-04-26,4773,West,0.14098639943260866,379
2024-04-27,3343,East,0.31267329907303565,92
2024-04-28,4796,East,0.26584599307237233,93
2024-04-29,3767,South,0.18895304309433958,334
2024-04-30,4820,West,0.22593425693388297,446
2024-05-01,1337,West,0.17686208307833745,61
2024-05-02,1878,West,0.28345411325970415,144
2024-05-03,2076,North,0.12447825412007212,351
2024-05-04,1791,West,0.10155545883219604,435
2024-05-05,4993,North,0.2883683244845908,302
2024-05-06,3264,South,0.1582821860536127,291
2024-05-07,1763,North,0.12128227509997831,84
2024-05-08,3235,South,0.21903514816416653,264
2024-05-09,1379,West,0.11523055931181908,386
2024-05-10,1492,West,0.36598514468519805,139
2024-05-11,4112,South,0.10828503156211142,313
2024-05-12,2180,East,0.27365946865226765,142
2024-05-13,3062,South,0.2315422369054261,459
2024-05-14,4884,East,0.30160784058855983,139
2024-05-15,1064,North,0.1984458002424196,467
2024-05-16,4928,North,0.14651248501832326,164
2024-05-17,4910,North,0.39455226649315933,154
2024-05-18,3568,West,0.3516800506208091,440
2024-05-19,2367,North,0.3581213854935026,245
2024-05-20,2152,East,0.17507540815475925,363
2024-05-21,3027,North,0.11165042032882697,163
2024-05-22,3695,South,0.19097965440196685,124
2024-05-23,2495,South,0.2611247281589967,462
2024-05-24,4134,West,0.19799537253881228,425
2024-05-25,2162,South,0.34836070113627665,469
2024-05-26,2522,East,0.1814628747459226,266
2024-05-27,3640,North,0.389575549117231,326
2024-05-28,1391,West,0.2371795484841186,298
2024-05-29,2698,North,0.3526069225035945,213
